期间,销售额,类型,产品类别,地区
2024-01-01,12500,促销期间,电子产品,北京
2024-01-02,18300,促销期间,服装,上海
2024-01-03,9800,促销期间,食品,广州
2024-01-04,22100,促销期间,电子产品,北京
2024-01-05,15600,促销期间,家居,深圳
2024-01-06,28700,促销期间,服装,上海
2024-01-07,13200,促销期间,食品,广州
2024-01-08,7800,促销前,电子产品,北京
2024-01-09,6500,促销前,服装,上海
2024-01-10,5200,促销前,食品,广州
2024-01-11,8900,促销前,电子产品,北京
2024-01-12,4300,促销前,家居,深圳
2024-01-13,7100,促销前,服装,上海
2024-01-14,6800,促销前,食品,广州
2024-01-15,9200,促销前,电子产品,北京
2024-01-16,5800,促销前,服装,上海
2024-01-17,4100,促销前,食品,广州
2024-01-18,7600,促销前,家居,深圳
2024-01-19,6200,促销前,电子产品,北京
2024-01-20,8400,促销前,服装,上海
2024-01-21,5600,促销前,食品,广州
2024-01-22,7200,促销前,家居,深圳
2024-01-23,4900,促销前,电子产品,北京
2024-01-24,6700,促销前,服装,上海
2024-01-25,5300,促销前,食品,广州
2024-01-26,35000,促销后,电子产品,北京
2024-01-27,42000,促销后,服装,上海
2024-01-28,28000,促销后,食品,广州
2024-01-29,38000,促销后,家居,深圳
2024-01-30,45000,促销后,电子产品,北京
2024-01-31,52000,促销后,服装,上海
2024-02-01,31000,促销后,食品,广州
2024-02-02,29000,促销后,电子产品,北京
2024-02-03,34000,促销后,服装,上海
2024-02-04,26000,促销后,食品,广州
2024-02-05,39000,促销后,家居,深圳
2024-02-06,12800,非促销期间,电子产品,北京
2024-02-07,9500,非促销期间,服装,上海
2024-02-08,7200,非促销期间,食品,广州
2024-02-09,11300,非促销期间,家居,深圳
2024-02-10,13500,非促销期间,电子产品,北京
2024-02-11,10200,非促销期间,服装,上海
2024-02-12,8600,非促销期间,食品,广州
2024-02-13,9800,非促销期间,家居,深圳
2024-02-14,14200,非促销期间,电子产品,北京
2024-02-15,11800,非促销期间,服装,上海
2024-02-16,7900,非促销期间,食品,广州
2024-02-17,10500,非促销期间,家居,深圳
2024-02-18,12100,非促销期间,电子产品,北京
2024-02-19,9300,非促销期间,服装,上海
2024-02-20,8100,非促销期间,食品,广州
2024-02-21,11600,非促销期间,家居,深圳
2024-02-22,13800,非促销期间,电子产品,北京
2024-02-23,10900,非促销期间,服装,上海
2024-02-24,7500,非促销期间,食品,广州
2024-02-25,9200,非促销期间,家居,深圳
2024-02-26,12400,非促销期间,电子产品,北京
2024-02-27,10100,非促销期间,服装,上海
2024-02-28,8300,非促销期间,食品,广州
2024-02-29,11100,非促销期间,家居,深圳
